timestamp,choice,reward,load0,load1
08:02:46,1,10.00,116,112
08:02:48,1,10.00,116,113
08:02:49,1,10.00,116,114
08:02:51,1,10.00,116,115
08:02:52,1,10.00,116,116
08:02:54,1,10.00,116,117
08:02:56,1,10.00,116,118
08:02:57,1,10.00,116,119
08:02:59,1,10.00,116,120
08:03:01,1,1.00,116,121
08:03:02,1,0.50,116,122
08:03:04,0,10.00,116,123
08:03:06,0,10.00,117,123
08:03:07,0,10.00,118,123
08:03:09,0,10.00,119,123
08:03:10,0,10.00,120,123
08:03:12,0,10.00,121,123
08:03:14,0,10.00,122,123
08:03:15,0,10.00,123,123
08:03:17,0,10.00,124,123
08:03:18,0,10.00,125,123
08:03:20,0,10.00,126,123
08:03:22,0,10.00,127,123
08:03:23,0,10.00,128,123
08:03:25,0,10.00,129,123
08:03:26,0,10.00,130,123
08:03:28,0,10.00,131,123
08:03:30,0,10.00,132,123
08:03:31,0,1.00,133,123
08:03:33,1,0.50,134,123
08:03:35,0,0.50,134,124
08:03:36,1,10.00,135,124
08:03:38,0,0.50,135,125
08:03:40,1,10.00,136,125
08:03:41,1,10.00,136,126
08:03:43,1,10.00,136,127
08:03:45,1,10.00,136,128
08:03:46,1,10.00,136,129
08:03:48,1,10.00,136,130
08:03:49,1,10.00,136,131
08:03:51,1,10.00,136,132
08:03:53,1,10.00,136,133
08:03:54,1,10.00,136,134
08:03:56,1,10.00,136,135
08:03:57,1,10.00,136,136
08:03:59,1,10.00,136,137
08:04:01,1,10.00,136,138
08:04:02,1,10.00,136,139
08:04:04,1,10.00,136,140
08:04:05,1,10.00,136,141
08:04:07,1,1.00,136,142
08:04:09,1,0.50,136,143
08:04:11,0,10.00,136,144
08:04:12,0,10.00,137,144
08:04:14,0,10.00,138,144
08:04:15,0,10.00,139,144
08:04:17,0,10.00,140,144
08:04:19,0,10.00,141,144
08:04:20,0,10.00,142,144
08:04:22,0,10.00,143,144
08:04:23,0,10.00,144,144
08:04:25,0,10.00,145,144
08:04:27,0,10.00,146,144
08:04:28,0,10.00,147,144
08:04:30,0,10.00,148,144
08:04:31,0,10.00,149,144
08:04:33,0,10.00,150,144
08:04:35,0,10.00,151,144
08:04:36,0,10.00,152,144
08:04:38,0,0.50,153,144
08:04:40,1,1.00,154,144
08:04:41,0,0.50,154,145
08:04:43,1,10.00,155,145
08:04:45,0,0.50,155,146
08:04:46,1,10.00,156,146
08:04:48,1,10.00,156,147
08:04:50,1,10.00,156,148
08:04:51,1,10.00,156,149
08:04:53,1,10.00,156,150
08:04:54,1,10.00,156,151
08:04:56,1,10.00,156,152
08:04:58,1,10.00,156,153
08:04:59,1,10.00,156,154
08:05:01,1,10.00,156,155
08:05:02,1,10.00,156,156
08:05:04,1,10.00,156,157
08:05:06,1,10.00,156,158
08:05:07,1,10.00,156,159
08:05:09,1,10.00,156,160
08:05:10,1,10.00,156,161
08:05:12,1,1.00,156,162
08:05:14,1,0.50,156,163
08:05:16,0,10.00,156,164
08:05:17,0,10.00,157,164
08:05:19,0,10.00,158,164
08:05:20,0,10.00,159,164
08:05:22,0,10.00,160,164
08:05:24,0,10.00,161,164
08:05:25,0,10.00,162,164
08:05:27,0,10.00,163,164
08:05:28,0,10.00,164,164
08:05:30,0,10.00,165,164
08:05:32,0,10.00,166,164
08:05:33,0,10.00,167,164
08:05:35,0,10.00,168,164
08:05:36,0,10.00,169,164
08:05:38,0,10.00,170,164
08:05:40,0,10.00,171,164
08:05:41,0,10.00,172,164
08:05:43,0,1.00,173,164
08:05:45,1,0.50,174,164
